order_id,order_date,product_category,platform,city,customer_age,is_premium_member,unit_price,quantity,discount_pct,shipping_cost,gmv,order_status,review_score,days_to_deliver
ORD100020,2022-06-09,Toys,Tablet,Delhi,25,0,976.27,5,0,99,4980.35,Cancelled,5.0,
ORD100021,2022-06-09,Fashion,Web,Indore,26,1,790.02,1,30,49,602.01,Delivered,3.0,4.0
ORD100022,2022-06-09,Automotive,Tablet,Bhopal,51,1,7415.41,5,0,0,37077.05,Delivered,4.0,1.0
ORD100023,2022-06-10,Books,Android App,Lucknow,41,0,698.7,4,10,49,2564.32,Returned,,1.0
ORD100024,2022-06-10,Fashion,Tablet,Surat,56,0,1815.37,5,10,49,8218.16,Delivered,3.0,7.0
ORD100025,2022-06-11,Fashion,iOS App,Jaipur,38,0,978.99,4,20,99,3231.77,Processing,3.0,8.0
ORD100026,2022-06-11,Home & Kitchen,Android App,Surat,50,0,2120.37,5,0,49,10650.85,Cancelled,4.0,
ORD100027,2022-06-11,Home & Kitchen,Web,Pune,40,1,3103.74,1,10,149,2942.37,Shipped,5.0,4.0
ORD100028,2022-06-12,Electronics,Android App,Surat,45,0,10779.72,4,10,0,38806.99,Delivered,5.0,11.0
ORD100029,2022-06-12,Automotive,iOS App,Ahmedabad,59,1,6772.7,4,5,149,25885.26,Delivered,4.0,8.0
ORD100030,2022-06-13,Books,Android App,Kanpur,46,0,586.13,5,25,49,2246.99,Delivered,5.0,9.0
ORD100031,2022-06-13,Home & Kitchen,Tablet,Nagpur,41,1,4461.62,1,0,49,4510.62,Delivered,,11.0
ORD100032,2022-06-14,Toys,iOS App,Lucknow,58,0,998.06,3,0,0,2994.18,Delivered,3.0,13.0
ORD100033,2022-06-14,Books,iOS App,Bhopal,48,1,403.69,3,10,0,1089.96,Delivered,5.0,1.0
ORD100034,2022-06-14,Automotive,Android App,Kolkata,61,0,3795.47,1,0,49,3844.47,Returned,4.0,7.0
ORD100035,2022-06-15,Health,Tablet,Kanpur,48,1,1311.0,4,20,149,4344.2,Delivered,3.0,3.0
ORD100036,2022-06-15,Toys,iOS App,Pune,50,1,790.32,3,0,99,2469.96,Delivered,4.0,10.0
ORD100037,2022-06-16,Automotive,Tablet,Kanpur,42,0,4790.96,3,5,0,13654.24,Delivered,4.0,6.0
ORD100038,2022-06-16,Fashion,iOS App,Hyderabad,57,0,1786.72,4,10,49,6481.19,Delivered,5.0,3.0
ORD100039,2022-06-16,Fashion,Tablet,Lucknow,32,1,1281.36,4,20,49,4149.35,Delivered,4.0,13.0
ORD100040,2022-06-17,Toys,Android App,Mumbai,43,1,526.75,4,10,149,2045.3,Delivered,5.0,8.0
ORD100041,2022-06-17,Health,Android App,Kanpur,60,1,1102.74,2,0,99,2304.48,Delivered,2.0,2.0
ORD100042,2022-06-18,Electronics,Android App,Hyderabad,27,0,14006.61,5,0,0,70033.05,Processing,2.0,4.0
ORD100043,2022-06-18,Fashion,Tablet,Chennai,38,0,1920.28,2,15,0,3264.48,Delivered,,11.0
ORD100044,2022-06-18,Food,Tablet,Pune,19,0,142.65,2,25,0,213.98,Processing,5.0,7.0
ORD100045,2022-06-19,Fashion,iOS App,Kolkata,44,1,2135.12,3,10,49,5813.82,Delivered,4.0,14.0
ORD100046,2022-06-19,Books,Android App,Delhi,34,0,417.21,2,10,0,750.98,Delivered,4.0,1.0
ORD100047,2022-06-20,Electronics,Android App,Jaipur,44,0,7858.74,2,0,0,15717.48,Delivered,2.0,2.0
ORD100048,2022-06-20,Books,Android App,Delhi,29,1,245.02,5,5,99,1262.84,Delivered,,10.0
ORD100049,2022-06-20,Toys,Web,Jaipur,56,1,1342.71,1,5,49,1324.57,Delivered,1.0,5.0
ORD100050,2022-06-21,Health,iOS App,Pune,64,1,1174.96,3,0,149,3673.88,Delivered,4.0,13.0
ORD100051,2022-06-21,Fashion,Web,Jaipur,43,1,1983.38,3,0,99,6049.14,Processing,5.0,11.0
ORD100052,2022-06-22,Fashion,Web,Bangalore,46,0,2189.0,1,10,0,1970.1,Delivered,,1.0
ORD100053,2022-06-22,Food,Tablet,Bhopal,39,0,245.11,2,5,0,465.71,Delivered,3.0,14.0
ORD100054,2022-06-22,Home & Kitchen,Android App,Mumbai,32,1,3961.13,2,0,49,7971.26,Delivered,5.0,14.0
ORD100055,2022-06-23,Books,Android App,Nagpur,39,1,516.42,3,20,99,1338.41,Delivered,4.0,4.0
ORD100056,2022-06-23,Automotive,iOS App,Pune,41,0,8811.89,3,0,49,26484.67,Cancelled,5.0,
ORD100057,2022-06-24,Automotive,Web,Nagpur,54,0,5650.67,3,15,149,14558.21,Delivered,3.0,9.0
ORD100058,2022-06-24,Home & Kitchen,iOS App,Jaipur,50,0,5782.89,2,15,99,9929.91,Delivered,5.0,1.0
ORD100059,2022-06-24,Electronics,Web,Nagpur,33,0,21160.22,4,20,49,67761.7,Shipped,5.0,11.0
ORD100060,2022-06-25,Books,Android App,Jaipur,46,0,633.78,2,20,0,1014.05,Delivered,,14.0
ORD100061,2022-06-25,Home & Kitchen,iOS App,Kanpur,61,0,1875.11,5,15,49,8018.22,Delivered,4.0,6.0
ORD100062,2022-06-26,Toys,Tablet,Surat,37,1,836.51,5,5,49,4022.42,Delivered,5.0,14.0
ORD100063,2022-06-26,Toys,Tablet,Lucknow,57,0,538.13,4,10,0,1937.27,Processing,4.0,10.0
ORD100064,2022-06-27,Home & Kitchen,Android App,Jaipur,40,1,5603.47,1,20,99,4581.78,Delivered,4.0,11.0
ORD100065,2022-06-27,Books,Tablet,Chennai,24,0,298.37,5,5,49,1466.26,Delivered,3.0,8.0
ORD100066,2022-06-27,Toys,iOS App,Nagpur,26,0,1098.63,5,10,0,4943.84,Delivered,5.0,10.0
ORD100067,2022-06-28,Health,Web,Nagpur,32,1,534.87,3,0,99,1703.61,Delivered,4.0,14.0
ORD100068,2022-06-28,Health,Android App,Lucknow,45,1,721.14,2,10,99,1397.05,Delivered,5.0,9.0
ORD100069,2022-06-29,Automotive,Web,Hyderabad,60,1,4898.89,4,0,0,19595.56,Cancelled,5.0,
ORD100070,2022-06-29,Toys,Tablet,Kolkata,36,1,1170.97,4,10,49,4264.49,Delivered,5.0,3.0
ORD100071,2022-06-29,Toys,Web,Lucknow,31,1,613.73,4,0,99,2553.92,Delivered,5.0,8.0
ORD100072,2022-06-30,Books,Tablet,Bangalore,48,1,603.86,4,0,49,2464.44,Delivered,5.0,13.0
ORD100073,2022-06-30,Automotive,Android App,Delhi,32,1,8414.58,5,0,49,42121.9,Delivered,4.0,10.0
ORD100074,2022-07-01,Fashion,Web,Kolkata,38,0,2385.97,5,15,99,10239.37,Delivered,5.0,11.0
ORD100075,2022-07-01,Fashion,Android App,Jaipur,28,1,1818.85,4,25,99,5555.55,Delivered,4.0,3.0
ORD100076,2022-07-01,Toys,Android App,Indore,31,0,1019.31,2,0,0,2038.62,Processing,5.0,12.0
ORD100077,2022-07-02,Health,Android App,Hyderabad,20,1,1262.07,5,0,0,6310.35,Delivered,5.0,8.0
ORD100078,2022-07-02,Home & Kitchen,iOS App,Chennai,44,0,1993.29,5,15,99,8570.48,Delivered,4.0,7.0
ORD100079,2022-07-03,Health,Android App,Lucknow,40,0,1142.85,3,10,0,3085.7,Delivered,3.0,1.0
ORD100080,2022-07-03,Fashion,iOS App,Indore,26,0,2132.67,1,0,149,2281.67,Delivered,4.0,13.0
ORD100081,2022-07-03,Health,Web,Nagpur,53,0,478.16,5,10,0,2151.72,Delivered,5.0,9.0
ORD100082,2022-07-04,Home & Kitchen,Android App,Surat,27,0,2069.95,3,20,99,5066.88,Delivered,,5.0
ORD100083,2022-07-04,Health,iOS App,Mumbai,49,0,1260.74,3,0,149,3931.22,Shipped,4.0,8.0
ORD100084,2022-07-05,Home & Kitchen,iOS App,Surat,23,1,5311.57,4,5,49,20232.97,Delivered,,13.0
ORD100085,2022-07-05,Toys,iOS App,Delhi,19,0,672.7,1,0,99,771.7,Delivered,4.0,12.0
ORD100086,2022-07-05,Fashion,Android App,Kanpur,23,1,2168.66,5,25,0,8132.48,Delivered,,5.0
ORD100087,2022-07-06,Automotive,Android App,Indore,42,1,5031.45,1,20,99,4124.16,Delivered,,12.0
ORD100088,2022-07-06,Books,Tablet,Surat,26,0,419.37,2,5,149,945.8,Shipped,4.0,1.0
ORD100089,2022-07-07,Electronics,Android App,Chennai,33,0,28943.19,3,30,149,60929.7,Delivered,,7.0
ORD100090,2022-07-07,Food,iOS App,Hyderabad,43,1,281.6,4,0,49,1175.4,Delivered,4.0,8.0
ORD100091,2022-07-07,Fashion,Tablet,Lucknow,48,1,1679.07,1,15,99,1526.21,Cancelled,4.0,
ORD100092,2022-07-08,Health,iOS App,Kanpur,54,0,1712.88,3,15,99,4466.84,Delivered,5.0,1.0
ORD100093,2022-07-08,Fashion,Web,Nagpur,37,0,1075.89,1,20,49,909.71,Delivered,3.0,5.0
ORD100094,2022-07-09,Food,Tablet,Delhi,22,0,159.48,5,10,99,816.66,Shipped,4.0,4.0
ORD100095,2022-07-09,Electronics,Tablet,Kanpur,64,0,29055.67,2,0,0,58111.34,Delivered,4.0,6.0
ORD100096,2022-07-10,Home & Kitchen,iOS App,Bhopal,54,0,4019.23,3,0,149,12206.69,Delivered,5.0,10.0
ORD100097,2022-07-10,Toys,Web,Mumbai,56,0,1364.13,4,0,149,5605.52,Delivered,5.0,2.0
ORD100098,2022-07-10,Food,iOS App,Kolkata,61,0,450.03,1,20,49,409.02,Delivered,5.0,11.0
ORD100099,2022-07-11,Books,iOS App,Kanpur,50,0,487.18,1,5,49,511.82,Delivered,5.0,2.0
ORD100100,2022-07-11,Home & Kitchen,Web,Ahmedabad,64,0,3621.03,5,5,149,17348.89,Shipped,5.0,8.0
ORD100101,2022-07-12,Home & Kitchen,Web,Bhopal,42,1,3661.13,3,0,0,10983.39,Delivered,5.0,12.0
ORD100102,2022-07-12,Food,Web,Lucknow,44,1,187.26,2,5,49,404.79,Cancelled,,
ORD100103,2022-07-12,Food,iOS App,Pune,45,0,295.09,4,5,49,1170.34,Delivered,4.0,14.0
ORD100104,2022-07-13,Fashion,Web,Surat,41,1,2079.12,5,5,49,9924.82,Delivered,5.0,7.0
ORD100105,2022-07-13,Food,Web,Lucknow,38,1,495.8,4,0,0,1983.2,Delivered,2.0,7.0
ORD100106,2022-07-14,Automotive,Tablet,Kanpur,33,0,9702.57,3,0,0,29107.71,Delivered,3.0,13.0
ORD100107,2022-07-14,Health,Web,Hyderabad,55,0,1748.94,4,0,149,7144.76,Delivered,4.0,2.0
ORD100108,2022-07-14,Home & Kitchen,Tablet,Indore,33,1,1585.55,5,25,99,6044.81,Delivered,3.0,13.0
ORD100109,2022-07-15,Books,Android App,Bhopal,60,1,445.78,2,10,99,901.4,Delivered,,2.0
ORD100110,2022-07-15,Automotive,iOS App,Chennai,53,1,4000.98,4,10,49,14452.53,Delivered,4.0,2.0
ORD100111,2022-07-16,Home & Kitchen,Tablet,Chennai,64,0,4268.78,5,25,99,16106.92,Delivered,,1.0
ORD100112,2022-07-16,Home & Kitchen,Web,Pune,48,0,5756.27,2,10,49,10410.29,Delivered,4.0,4.0
ORD100113,2022-07-16,Books,Android App,Hyderabad,46,1,635.24,5,10,99,2957.58,Delivered,5.0,13.0
ORD100114,2022-07-17,Fashion,iOS App,Bangalore,33,1,2159.85,1,5,149,2200.86,Delivered,4.0,3.0
ORD100115,2022-07-17,Books,Tablet,Bangalore,50,0,367.0,2,0,0,734.0,Delivered,,7.0
ORD100116,2022-07-18,Electronics,Tablet,Lucknow,45,0,18776.35,2,0,149,37701.7,Returned,2.0,12.0
ORD100117,2022-07-18,Fashion,Android App,Bhopal,36,1,1107.5,1,20,149,1035.0,Delivered,5.0,13.0
ORD100118,2022-07-18,Books,Web,Delhi,21,0,465.77,4,5,49,1818.93,Delivered,,7.0
ORD100119,2022-07-19,Automotive,Tablet,Jaipur,18,1,4775.41,3,0,149,14475.23,Delivered,5.0,6.0
ORD100120,2022-07-19,Food,Tablet,Hyderabad,28,1,428.27,2,20,149,834.23,Delivered,5.0,7.0
ORD100121,2022-07-20,Books,Web,Chennai,51,0,418.82,5,0,0,2094.1,Delivered,4.0,9.0
ORD100122,2022-07-20,Automotive,Web,Jaipur,61,0,7752.99,2,10,0,13955.38,Cancelled,4.0,
ORD100123,2022-07-20,Electronics,Tablet,Bangalore,61,1,27135.01,5,15,99,115422.79,Delivered,3.0,10.0
ORD100124,2022-07-21,Toys,Tablet,Delhi,42,0,664.74,4,0,99,2757.96,Processing,4.0,12.0
ORD100125,2022-07-21,Toys,iOS App,Indore,58,0,1003.2,5,0,0,5016.0,Processing,1.0,1.0
ORD100126,2022-07-22,Home & Kitchen,Tablet,Kolkata,18,0,5306.16,1,5,49,5089.85,Shipped,5.0,12.0
ORD100127,2022-07-22,Books,iOS App,Mumbai,59,0,674.13,5,15,49,2914.05,Delivered,,10.0
ORD100128,2022-07-23,Toys,Tablet,Indore,63,0,521.22,1,20,49,465.98,Delivered,5.0,1.0
ORD100129,2022-07-23,Home & Kitchen,Android App,Surat,36,1,4566.39,4,20,0,14612.45,Processing,5.0,12.0
ORD100130,2022-07-23,Health,Android App,Kanpur,20,0,1037.55,4,0,0,4150.2,Processing,4.0,7.0
ORD100131,2022-07-24,Electronics,Web,Surat,51,0,13924.27,1,0,99,14023.27,Delivered,3.0,1.0
ORD100132,2022-07-24,Health,Tablet,Ahmedabad,18,0,662.93,1,10,0,596.64,Delivered,5.0,2.0
ORD100133,2022-07-25,Fashion,Web,Kanpur,48,0,1653.69,1,15,99,1504.64,Delivered,4.0,1.0
ORD100134,2022-07-25,Books,Web,Pune,33,1,350.4,1,0,99,449.4,Delivered,4.0,6.0
ORD100135,2022-07-25,Health,iOS App,Lucknow,43,0,1351.72,1,0,149,1500.72,Delivered,,8.0
ORD100136,2022-07-26,Automotive,Tablet,Indore,61,1,4607.48,5,0,149,23186.4,Delivered,4.0,4.0
ORD100137,2022-07-26,Books,Tablet,Nagpur,25,0,175.31,2,0,149,499.62,Processing,4.0,14.0
ORD100138,2022-07-27,Fashion,Android App,Jaipur,19,0,1981.01,5,10,49,8963.54,Delivered,2.0,1.0
ORD100139,2022-07-27,Fashion,Tablet,Mumbai,45,0,890.39,1,25,0,667.79,Delivered,5.0,14.0
ORD100140,2022-07-27,Health,Android App,Mumbai,50,1,790.88,4,0,0,3163.52,Shipped,4.0,3.0
ORD100141,2022-07-28,Automotive,Web,Kolkata,32,0,4265.16,3,5,49,12204.71,Delivered,5.0,2.0
ORD100142,2022-07-28,Food,Tablet,Surat,25,1,253.34,3,0,0,760.02,Delivered,4.0,7.0
ORD100143,2022-07-29,Automotive,iOS App,Delhi,51,0,6140.06,4,0,0,24560.24,Shipped,5.0,11.0
ORD100144,2022-07-29,Home & Kitchen,Android App,Kolkata,50,1,5156.03,2,0,49,10361.06,Delivered,5.0,10.0
ORD100145,2022-07-29,Books,Android App,Kolkata,62,1,516.37,1,0,49,565.37,Cancelled,4.0,
ORD100146,2022-07-30,Food,iOS App,Kolkata,58,1,179.75,2,0,49,408.5,Delivered,5.0,7.0
ORD100147,2022-07-30,Automotive,iOS App,Jaipur,52,0,3877.57,5,15,149,16628.67,Delivered,3.0,13.0
ORD100148,2022-07-31,Books,iOS App,Hyderabad,18,0,619.71,3,10,49,1722.22,Delivered,3.0,11.0
ORD100149,2022-07-31,Books,iOS App,Jaipur,30,0,306.17,5,10,0,1377.76,Delivered,4.0,1.0
ORD100150,2022-07-31,Fashion,Tablet,Kolkata,48,0,993.63,5,5,49,4768.74,Delivered,4.0,8.0
ORD100151,2022-08-01,Electronics,iOS App,Indore,39,1,7580.33,1,0,49,7629.33,Delivered,,14.0
ORD100152,2022-08-01,Health,iOS App,Hyderabad,20,0,1495.0,1,0,149,1644.0,Shipped,5.0,11.0
ORD100153,2022-08-02,Health,Android App,Indore,44,0,1446.91,1,0,49,1495.91,Delivered,5.0,12.0
ORD100154,2022-08-02,Health,Web,Bhopal,53,0,919.28,1,0,49,968.28,Delivered,3.0,11.0
ORD100155,2022-08-02,Home & Kitchen,Web,Hyderabad,52,0,1532.92,3,0,99,4697.76,Processing,5.0,9.0
ORD100156,2022-08-03,Electronics,Web,Kolkata,61,0,25175.45,1,30,49,17671.81,Delivered,5.0,5.0
ORD100157,2022-08-03,Books,Web,Lucknow,24,1,227.17,5,30,49,844.09,Processing,3.0,1.0
ORD100158,2022-08-04,Food,iOS App,Kolkata,62,0,297.68,3,15,0,759.08,Delivered,5.0,5.0
ORD100159,2022-08-04,Food,Web,Lucknow,42,0,440.06,4,10,49,1633.22,Delivered,5.0,4.0
ORD100160,2022-08-05,Fashion,iOS App,Chennai,32,0,1039.71,5,10,0,4678.7,Delivered,,11.0
ORD100161,2022-08-05,Home & Kitchen,Android App,Bhopal,58,0,3208.51,1,10,99,2986.66,Processing,,5.0
ORD100162,2022-08-05,Health,iOS App,Lucknow,22,0,1342.16,3,10,0,3623.83,Shipped,3.0,5.0
ORD100163,2022-08-06,Electronics,iOS App,Delhi,19,0,22646.16,4,0,0,90584.64,Processing,5.0,13.0
ORD100164,2022-08-06,Home & Kitchen,Android App,Chennai,52,0,3582.18,5,30,49,12586.63,Delivered,,3.0
ORD100165,2022-08-07,Electronics,Android App,Surat,52,0,17259.43,5,15,49,73401.58,Delivered,5.0,11.0
ORD100166,2022-08-07,Books,Tablet,Hyderabad,22,1,395.24,2,0,49,839.48,Delivered,3.0,5.0
ORD100167,2022-08-07,Food,Tablet,Kolkata,59,1,307.26,2,5,149,732.79,Delivered,4.0,14.0
ORD100168,2022-08-08,Food,Web,Surat,57,1,254.99,4,15,99,965.97,Delivered,3.0,14.0
ORD100169,2022-08-08,Fashion,iOS App,Pune,55,0,1061.55,4,25,149,3333.65,Delivered,1.0,6.0
ORD100170,2022-08-09,Toys,Android App,Indore,36,0,681.85,2,0,49,1412.7,Processing,,11.0
ORD100171,2022-08-09,Food,Web,Surat,61,0,304.16,3,5,49,915.86,Delivered,,13.0
ORD100172,2022-08-09,Automotive,Android App,Kolkata,24,0,5366.06,5,0,49,26879.3,Delivered,,9.0
ORD100173,2022-08-10,Fashion,Web,Hyderabad,54,1,1653.97,2,0,49,3356.94,Delivered,4.0,13.0
ORD100174,2022-08-10,Books,iOS App,Hyderabad,57,0,506.35,2,0,0,1012.7,Delivered,5.0,10.0
ORD100175,2022-08-11,Automotive,Tablet,Mumbai,42,0,9971.08,5,0,0,49855.4,Delivered,4.0,1.0
ORD100176,2022-08-11,Food,Android App,Delhi,34,1,355.69,4,5,149,1500.62,Delivered,4.0,9.0
ORD100177,2022-08-11,Home & Kitchen,Android App,Kanpur,40,0,4805.85,2,5,99,9230.12,Shipped,4.0,4.0
ORD100178,2022-08-12,Home & Kitchen,Web,Kanpur,20,0,1941.14,2,15,0,3299.94,Delivered,,9.0
ORD100179,2022-08-12,Electronics,Tablet,Delhi,19,1,24610.1,5,5,0,116897.98,Delivered,5.0,12.0
ORD100180,2022-08-13,Food,iOS App,Jaipur,33,0,315.84,2,0,0,631.68,Delivered,5.0,3.0
ORD100181,2022-08-13,Electronics,Tablet,Hyderabad,18,1,26997.56,4,5,99,102689.73,Shipped,2.0,10.0
ORD100182,2022-08-13,Home & Kitchen,Tablet,Lucknow,47,0,5869.09,3,15,0,14966.18,Delivered,4.0,8.0
ORD100183,2022-08-14,Electronics,Tablet,Jaipur,48,1,12683.23,2,5,99,24197.14,Delivered,5.0,4.0
ORD100184,2022-08-14,Food,Web,Kanpur,58,1,473.25,2,10,0,851.85,Delivered,5.0,11.0
ORD100185,2022-08-15,Fashion,Tablet,Surat,30,0,1808.95,4,0,99,7334.8,Shipped,5.0,11.0
ORD100186,2022-08-15,Health,Android App,Bangalore,56,1,1447.8,5,0,149,7388.0,Delivered,3.0,1.0
ORD100187,2022-08-15,Electronics,iOS App,Surat,32,0,18128.12,1,25,0,13596.09,Delivered,3.0,5.0
ORD100188,2022-08-16,Books,Tablet,Nagpur,43,1,361.27,5,0,149,1955.35,Delivered,5.0,2.0
ORD100189,2022-08-16,Health,Android App,Bhopal,55,1,1530.05,2,0,149,3209.1,Shipped,4.0,9.0
ORD100190,2022-08-17,Toys,Android App,Lucknow,34,0,373.07,4,0,49,1541.28,Cancelled,4.0,
ORD100191,2022-08-17,Health,Tablet,Kolkata,23,0,1179.8,2,5,0,2241.62,Returned,5.0,14.0
ORD100192,2022-08-18,Books,Android App,Ahmedabad,56,0,213.76,2,15,49,412.39,Delivered,5.0,6.0
ORD100193,2022-08-18,Home & Kitchen,Android App,Bangalore,31,0,2645.86,5,10,49,11955.37,Delivered,5.0,4.0
ORD100194,2022-08-18,Automotive,Tablet,Surat,28,0,7938.99,4,20,149,25553.77,Delivered,3.0,5.0
ORD100195,2022-08-19,Toys,Tablet,Bangalore,50,0,1142.48,5,0,49,5761.4,Delivered,5.0,1.0
ORD100196,2022-08-19,Toys,Android App,Chennai,43,1,1283.5,1,0,99,1382.5,Delivered,4.0,5.0
ORD100197,2022-08-20,Automotive,Tablet,Ahmedabad,19,1,7865.78,2,30,99,11111.09,Delivered,5.0,10.0
ORD100198,2022-08-20,Electronics,Tablet,Ahmedabad,60,0,22681.78,1,5,0,21547.69,Returned,5.0,1.0
ORD100199,2022-08-20,Food,Android App,Pune,42,1,479.42,3,20,49,1199.61,Delivered,1.0,11.0
ORD100200,2022-08-21,Food,Web,Surat,30,0,326.53,3,10,149,1030.63,Delivered,4.0,12.0
ORD100201,2022-08-21,Books,Android App,Indore,22,1,518.29,5,0,49,2640.45,Delivered,4.0,5.0
ORD100202,2022-08-22,Electronics,iOS App,Indore,50,1,27031.41,2,30,49,37892.97,Delivered,4.0,11.0
ORD100203,2022-08-22,Home & Kitchen,Android App,Ahmedabad,53,1,4936.63,4,0,149,19895.52,Delivered,3.0,7.0
ORD100204,2022-08-22,Books,iOS App,Jaipur,53,1,579.21,5,10,49,2655.44,Delivered,5.0,14.0
ORD100205,2022-08-23,Food,iOS App,Kolkata,47,0,326.28,1,0,149,475.28,Delivered,4.0,8.0
ORD100206,2022-08-23,Home & Kitchen,Tablet,Indore,59,0,3875.3,3,10,0,10463.31,Shipped,4.0,9.0
ORD100207,2022-08-24,Food,Web,Nagpur,46,0,368.27,2,5,99,798.71,Delivered,5.0,12.0
ORD100208,2022-08-24,Electronics,Web,Mumbai,29,0,23262.29,1,0,99,23361.29,Shipped,5.0,4.0
ORD100209,2022-08-24,Food,Android App,Kanpur,28,0,329.79,3,30,0,692.56,Shipped,4.0,10.0
ORD100210,2022-08-25,Food,Android App,Mumbai,36,0,194.55,2,0,0,389.1,Delivered,3.0,12.0
ORD100211,2022-08-25,Health,Tablet,Lucknow,52,1,785.36,2,5,0,1492.18,Delivered,4.0,4.0
ORD100212,2022-08-26,Fashion,Web,Pune,19,0,1487.54,2,0,99,3074.08,Cancelled,3.0,
ORD100213,2022-08-26,Health,Tablet,Ahmedabad,32,0,725.49,3,10,49,2007.82,Delivered,4.0,4.0
ORD100214,2022-08-26,Food,Tablet,Kanpur,38,1,283.81,2,5,0,539.24,Delivered,5.0,9.0
ORD100215,2022-08-27,Food,Web,Chennai,44,0,180.18,4,10,49,697.65,Delivered,4.0,5.0
ORD100216,2022-08-27,Books,Tablet,Delhi,24,0,251.77,2,10,149,602.19,Processing,3.0,9.0
ORD100217,2022-08-28,Books,Tablet,Jaipur,22,0,617.69,4,15,0,2100.15,Delivered,5.0,3.0
ORD100218,2022-08-28,Books,Web,Nagpur,60,0,459.68,3,30,99,1064.33,Delivered,2.0,12.0
ORD100219,2022-08-28,Electronics,Web,Delhi,22,0,25059.78,2,20,149,40244.65,Delivered,,2.0
ORD100220,2022-08-29,Toys,Android App,Pune,21,0,362.12,5,0,49,1859.6,Delivered,5.0,5.0
ORD100221,2022-08-29,Food,Android App,Jaipur,27,0,232.11,4,15,149,938.17,Delivered,5.0,12.0
ORD100222,2022-08-30,Home & Kitchen,Tablet,Chennai,34,0,1579.56,3,0,49,4787.68,Delivered,4.0,2.0
ORD100223,2022-08-30,Automotive,Tablet,Nagpur,28,0,2525.37,3,0,99,7675.11,Delivered,4.0,12.0
ORD100224,2022-08-31,Fashion,Web,Jaipur,56,1,657.63,4,5,99,2597.99,Delivered,4.0,6.0
ORD100225,2022-08-31,Fashion,Tablet,Ahmedabad,23,0,1538.74,4,5,0,5847.21,Delivered,,4.0
ORD100226,2022-08-31,Food,Tablet,Bangalore,24,0,159.06,4,5,49,653.43,Delivered,2.0,12.0
ORD100227,2022-09-01,Fashion,Android App,Delhi,23,0,2037.07,1,5,99,2034.22,Delivered,4.0,12.0
ORD100228,2022-09-01,Books,iOS App,Bangalore,48,0,446.0,2,10,0,802.8,Delivered,5.0,13.0
ORD100229,2022-09-02,Food,Android App,Mumbai,59,0,217.01,3,30,49,504.72,Delivered,4.0,8.0
ORD100230,2022-09-02,Home & Kitchen,Android App,Jaipur,25,0,5273.96,3,0,99,15920.88,Delivered,5.0,3.0
ORD100231,2022-09-02,Home & Kitchen,iOS App,Nagpur,44,1,3793.37,2,0,0,7586.74,Delivered,,10.0
ORD100232,2022-09-03,Fashion,Web,Kanpur,35,1,1231.44,5,0,49,6206.2,Delivered,4.0,10.0
